prevword;nextword;prevtag;nexttag;class;;;
обстоятельств;пострадавшая;NOUN;ADJ;6;;;
другая;имеет;ADJ;VERB;4;;;
N/A;для;N/A;PREP;6;;;
одна;она;NUM;PRONOUN;5;;;
Та;объявляет;PRONOUN;VERB;6;;;
греческая;полностью;ADJ;ADV;2;;;
другая;разворачивает;ADJ;VERB;5;;;
внутренняя;перчатки;ADJ;NOUN;4;;;
Советская;отказывалась;ADJ;VERB;2;;;
эта;христианского;PRONOUN;ADJ;5;;;
поэтическая;N/A;ADJ;N/A;5;;;
лицевая;выравнивается;ADJ;VERB;4;;;
человеческая;окружающих;ADJ;NOUN;5;;;
брюшная;серовато-желтоватая;ADJ;ADJ;4;;;
его;то;PRONOUN;PRONOUN;1;;;
вычислительная;N/A;ADJ;N/A;1;;;
потребительская;N/A;ADJ;N/A;1;;;
российская;избегала;ADJ;VERB;2;;;
российская;подала;ADJ;VERB;2;;;
Финансовая;реклама;ADJ;NOUN;6;;;
российская;продавила;ADJ;VERB;2;;;
иностранная;N/A;ADJ;N/A;2;;;
немецкая;находит;ADJ;VERB;2;;;
юридическая;N/A;ADJ;N/A;6;;;
российская;и;ADJ;CONJ;2;;;
Тёмная;Интернета;ADJ;NOUN;1;;;
наша;и;PRONOUN;CONJ;1;;;
одна;страховщик;NUM;NOUN;1;;;
оборотная;несбывшихся;ADJ;VERB;1;;;
нам;которой;PRONOUN;ADJ;1;;;
внешняя;жизни;ADJ;NOUN;1;;;
внешняя;А;ADJ;CONJ;1;;;
заинтересованная;о;ADJ;PREP;1;;;
каждая;обвинения;ADJ;NOUN;1;;;
другая;N/A;ADJ;N/A;1;;;
обратная;медали;ADJ;NOUN;1;;;
Финансовая;реформы;ADJ;NOUN;6;;;
оборотная;наших;ADJ;PRONOUN;1;;;
левая;дома;ADJ;NOUN;1;;;
правая;а;ADJ;CONJ;1;;;
Петербургская;Петрограда;ADJ;NOUN;2;;;
дело;я;NOUN;PRONOUN;1;;;
Эта;жизни;PRONOUN;NOUN;1;;;
одна;брала;NUM;VERB;1;;;
эта;улицы;PRONOUN;NOUN;1;;;
практическая;N/A;ADJ;N/A;1;;;
эта;дела;PRONOUN;NOUN;5;;;
другая;упирается;ADJ;VERB;5;;;
другая;крайне;ADJ;ADV;5;;;
Внутренняя;её;ADJ;PRONOUN;4;;;
Оборотная;медали;ADJ;NOUN;6;;;
Третья;во;NUM;PREP;5;;;
каждая;должна;ADJ;VERB;5;;;
индийская;анализирует;ADJ;VERB;2;;;
российская;чтобы;ADJ;CONJ;2;;;
Российская;отмечает;ADJ;VERB;2;;;
российская;предлагала;ADJ;VERB;2;;;
Американская;выступает;ADJ;VERB;2;;;
надзирающая;сообщает;ADJ;VERB;6;;;
другая;вопроса;ADJ;NOUN;5;;;
одна;вытеснит;NUM;VERB;6;;;
