prevword,nextword,prevtag,nexttag,class,,,,gr1,gr2,gr3,gr4,gr5,gr6
обстоятельств,пострадавшая,NOUN,ADJ,6,,,,0,0,0,0,0,0
другая,имеет,ADJ,VERB,4,,,,0,0,0,0,1,0
N/A,для,N/A,PREP,6,,,,0,0,0,0,0,0
одна,она,NUM,PRONOUN,5,,,,1,0,0,0,0,0
Та,объявляет,PRONOUN,VERB,6,,,,0,0,0,0,0,0
греческая,полностью,ADJ,ADV,2,,,,0,1,0,0,0,0
другая,разворачивает,ADJ,VERB,5,,,,0,0,0,0,1,0
внутренняя,перчатки,ADJ,NOUN,4,,,,0,0,0,1,0,0
Советская,отказывалась,ADJ,VERB,2,,,,0,0,0,0,0,0
эта,христианского,PRONOUN,ADJ,5,,,,0,0,0,0,0,0
поэтическая,N/A,ADJ,N/A,5,,,,0,0,0,0,0,0
лицевая,выравнивается,ADJ,VERB,4,,,,0,0,0,1,0,0
человеческая,окружающих,ADJ,NOUN,5,,,,0,0,0,0,0,0
брюшная,серовато-желтоватая,ADJ,ADJ,4,,,,0,0,0,1,0,0
его,то,PRONOUN,PRONOUN,1,,,,0,0,0,0,0,0
вычислительная,N/A,ADJ,N/A,1,,,,0,0,0,0,0,0
потребительская,N/A,ADJ,N/A,1,,,,0,0,0,0,0,0
российская,избегала,ADJ,VERB,2,,,,0,1,0,0,0,1
российская,подала,ADJ,VERB,2,,,,0,1,0,0,0,1
Финансовая,реклама,ADJ,NOUN,6,,,,0,0,0,0,0,0
российская,продавила,ADJ,VERB,2,,,,0,1,0,0,0,1
иностранная,N/A,ADJ,N/A,2,,,,0,0,0,0,0,0
немецкая,находит,ADJ,VERB,2,,,,0,0,0,0,0,0
юридическая,N/A,ADJ,N/A,6,,,,0,0,0,0,0,0
российская,и,ADJ,CONJ,2,,,,0,1,0,0,0,1
Тёмная,Интернета,ADJ,NOUN,1,,,,0,0,0,0,0,0
наша,и,PRONOUN,CONJ,1,,,,1,0,0,0,0,0
одна,страховщик,NUM,NOUN,1,,,,1,0,0,0,0,0
оборотная,несбывшихся,ADJ,VERB,1,,,,0,0,0,0,0,0
нам,которой,PRONOUN,ADJ,1,,,,0,0,0,0,0,0
внешняя,жизни,ADJ,NOUN,1,,,,0,0,0,0,0,0
внешняя,А,ADJ,CONJ,1,,,,0,0,0,0,0,0
заинтересованная,о,ADJ,PREP,1,,,,0,0,0,0,0,0
каждая,обвинения,ADJ,NOUN,1,,,,0,0,0,0,0,0
другая,N/A,ADJ,N/A,1,,,,0,0,0,0,1,0
обратная,медали,ADJ,NOUN,1,,,,0,0,0,0,0,0
Финансовая,реформы,ADJ,NOUN,6,,,,0,0,0,0,0,0
оборотная,наших,ADJ,PRONOUN,1,,,,0,0,0,0,0,0
левая,дома,ADJ,NOUN,1,,,,1,0,0,0,0,0
правая,а,ADJ,CONJ,1,,,,1,0,0,0,0,0
Петербургская,Петрограда,ADJ,NOUN,2,,,,0,0,1,0,0,0
дело,я,NOUN,PRONOUN,1,,,,0,0,0,0,0,0
Эта,жизни,PRONOUN,NOUN,1,,,,0,0,0,0,0,0
одна,брала,NUM,VERB,1,,,,1,0,0,0,0,0
эта,улицы,PRONOUN,NOUN,1,,,,0,0,0,0,0,0
практическая,N/A,ADJ,N/A,1,,,,0,0,0,0,0,0
эта,дела,PRONOUN,NOUN,5,,,,0,0,0,0,0,0
другая,упирается,ADJ,VERB,5,,,,0,0,0,0,1,0
другая,крайне,ADJ,ADV,5,,,,0,0,0,0,1,0
Внутренняя,её,ADJ,PRONOUN,4,,,,0,0,0,0,0,0
Оборотная,медали,ADJ,NOUN,6,,,,0,0,0,0,0,0
Третья,во,NUM,PREP,5,,,,0,0,0,0,0,0
каждая,должна,ADJ,VERB,5,,,,0,0,0,0,0,0
индийская,анализирует,ADJ,VERB,2,,,,0,0,0,0,0,0
российская,чтобы,ADJ,CONJ,2,,,,0,1,0,0,0,1
Российская,отмечает,ADJ,VERB,2,,,,0,0,0,0,0,0
